row_type,factor,horizon,target,n,rank_ic,benchmark_model,benchmark_source_model,benchmark_rank_ic,benchmark_delta_ic,beta,nw_t_stat,nw_abs_t_stat,nw_p_value,hh_t_stat,hh_p_value,hh_covariance_psd,hh_fallback_to_nw,r2,aligned_target,beats_benchmark,nw_significant,hac_pass,decision_tag,decision_target,decision_reason,front_momentum_beta,front_momentum_nw_t_stat
factor,policy_path,3m,10Y,2789,0.04013730148765021,max_random_walk_momentum,momentum_3m,-0.0522321867169732,0.09236948820462342,0.2064601684223624,0.8339556978821981,0.8339556978821981,0.4043059490157808,0.7383005091130815,0.4603318571902507,True,False,0.009409367762080234,False,True,False,False,keep,2s10s,beats_max_phase0_bar_and_nw_t_ge_2_both_horizons,,
factor,policy_path,3m,30Y,2789,0.05477107509079718,max_random_walk_momentum,momentum_3m,-0.1049854579096364,0.15975653300043358,0.6258143418271263,0.9572375610874805,0.9572375610874805,0.33844736253519225,0.8546709351446812,0.3927333453227425,True,False,0.012354276423256816,False,True,False,False,keep,2s10s,beats_max_phase0_bar_and_nw_t_ge_2_both_horizons,,
factor,policy_path,3m,2s10s,2789,0.26155752971918766,max_random_walk_momentum,momentum_3m,0.1473445018141901,0.11421302790499757,0.2523154149786207,2.0787793528200864,2.0787793528200864,0.03763763547991499,1.6967666558813077,0.08974078508579764,True,False,0.056401840658867,True,True,True,True,keep,2s10s,beats_max_phase0_bar_and_nw_t_ge_2_both_horizons,,
factor,policy_path,3m,5s30s,2789,0.021850847663635757,max_random_walk_momentum,momentum_3m,0.1131401975231021,-0.09128934985946635,0.012254546636803339,0.1993207505422171,0.1993207505422171,0.8420118482421216,0.1623726619507815,0.8710123977418215,True,False,0.0003471740702023496,True,False,False,False,keep,2s10s,beats_max_phase0_bar_and_nw_t_ge_2_both_horizons,,
factor,policy_path,6m,2Y,2726,0.20016786284287685,max_random_walk_momentum,momentum_3m,0.2488739252970503,-0.04870606245417344,0.4623173133593079,1.7093163311198367,1.7093163311198367,0.08739236983022146,1.3993350942372036,0.16171252046337212,True,False,0.07505057309746255,True,False,False,False,keep,2s10s,beats_max_phase0_bar_and_nw_t_ge_2_both_horizons,,
factor,policy_path,6m,5Y,2726,0.0809881838146349,max_random_walk_momentum,momentum_3m,0.0878780892125175,-0.00688990539788259,0.24632838563915263,1.0350545968993525,1.0350545968993525,0.3006434146003276,0.8503860961422449,0.3951104636859692,True,False,0.022931620565519784,False,False,False,False,keep,2s10s,beats_max_phase0_bar_and_nw_t_ge_2_both_horizons,,
factor,policy_path,6m,10Y,2726,0.08672012433977568,max_random_walk_momentum,momentum_3m,0.0138729370559449,0.07284718728383077,0.4082171910696832,0.9618650986167757,0.9618650986167757,0.3361173723043105,0.7839237507002244,0.4330848525802875,True,False,0.01954676540561051,False,True,False,False,keep,2s10s,beats_max_phase0_bar_and_nw_t_ge_2_both_horizons,,
factor,policy_path,6m,30Y,2726,0.11474362705051944,max_random_walk_momentum,momentum_3m,-0.0308717433876035,0.14561537043812295,1.241628359294192,1.09750464438966,1.09750464438966,0.2724208516067337,0.8873314947662934,0.37490045392969706,True,False,0.027298201713335968,False,True,False,False,keep,2s10s,beats_max_phase0_bar_and_nw_t_ge_2_both_horizons,,
factor,policy_path,6m,2s10s,2726,0.31944370598616084,max_random_walk_momentum,momentum_3m,0.2869064216087201,0.032537284377440745,0.506581049778091,2.2673930976627763,2.2673930976627763,0.02336622276992561,1.933157124164062,0.053216844778243136,True,False,0.09972741368133253,True,True,True,True,keep,2s10s,beats_max_phase0_bar_and_nw_t_ge_2_both_horizons,,
factor,policy_path,6m,5s30s,2726,0.07077608842911923,max_random_walk_momentum,momentum_3m,0.1570380665735517,-0.08626197814443248,0.047268390908144414,0.4397869136915325,0.4397869136915325,0.6600914465256935,0.3882390995907813,0.6978391007294735,True,False,0.0022987281755072475,True,False,False,False,keep,2s10s,beats_max_phase0_bar_and_nw_t_ge_2_both_horizons,,
factor,macro_surprise,3m,2Y,2789,-0.023205619473675422,max_random_walk_momentum,momentum_3m,0.2216627906068823,-0.2448684100805577,0.004468472727941031,0.055408073864830786,0.055408073864830786,0.9558133637067219,0.07017135489247567,0.9440572735919535,True,False,1.1939292224538711e-05,True,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,macro_surprise,3m,5Y,2789,-0.03267487250671485,max_random_walk_momentum,momentum_3m,0.0399416300246072,-0.07261650253132204,-0.0016100901159557112,-0.02222160231897088,0.02222160231897088,0.9822711856856632,-0.026971237227203633,0.978482675050153,True,False,1.7205464689640237e-06,True,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,macro_surprise,3m,10Y,2789,-0.041922962632977956,max_random_walk_momentum,momentum_3m,-0.0522321867169732,0.010309224083995247,-0.03590294328856331,-0.3023373598462412,0.3023373598462412,0.7623949010523574,-0.35564891070141247,0.7221035098757587,True,False,0.00030237606276073414,True,True,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,macro_surprise,3m,30Y,2789,-0.027706422964382735,max_random_walk_momentum,momentum_3m,-0.1049854579096364,0.07727903494525366,-0.04164254698999026,-0.1938426754528522,0.1938426754528522,0.8462990705327729,-0.21692669342542875,0.8282654745409025,True,False,0.00013079248495251328,False,True,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
factor,macro_surprise,3m,2s10s,2789,0.040263386815243385,max_random_walk_momentum,momentum_3m,0.1473445018141901,-0.10708111499894671,0.05493274274857153,0.5091342821775605,0.5091342821775605,0.6106581034751491,0.6937407627721552,0.48784479769751904,True,False,0.0012171589915465075,False,False,False,False,fail,,no_aligned_target_beats_bar_with_nw_t_ge_2_both_horizons,,
